g1
mhpF_crp_araC
mhpD_crp_araC
mhpA_crp_araC
srlA_crp_araC
uxaC_crp_araC
nanM_crp_araC
idnD_crp_araC
ulaE_crp_araC
nfuA_crp_araC
gntX_crp_araC
aaeX_crp_araC
aaeB_crp_araC
nanE_crp_araC
tdcE_crp_araC
tdcF_crp_araC
aer_crp_araC
casC_crp_araC
casD_crp_araC
csiD_crp_araC
pka_crp_araC
csiE_crp_araC
hyfR_crp_araC
hyfJ_crp_araC
hyfC_crp_araC
murQ_crp_araC
preT_crp_araC
gatZ_crp_araC
mlc_crp_araC
tam_crp_araC
lsrB_crp_araC
lsrC_crp_araC
lsrR_crp_araC
paaK_crp_araC
paaJ_crp_araC
paaD_crp_araC
paaC_crp_araC
paaB_crp_araC
puuE_crp_araC
hlyE_crp_araC
csgD_crp_araC
csgF_crp_araC
ycdZ_crp_araC
fiu_crp_araC
dpiB_crp_araC
citC_crp_araC
citD_crp_araC
citE_crp_araC
citF_crp_araC
citX_crp_araC
citG_crp_araC
mhpE_crp_araC
prpE_crp_araC
prpC_crp_araC
prpB_crp_araC
caiF_crp_araC
rmf_crp_araC
hpt_crp_araC
agaA_crp_araC
exuT_crp_araC
caiE_crp_araC
mpl_crp_araC
gatY_crp_araC
gatC_crp_araC
gatB_crp_araC
gatA_crp_araC
lhgO_crp_araC
acnB_crp_araC
aldB_crp_araC
sgbU_crp_araC
sgbH_crp_araC
lyxK_crp_araC
yiaO_crp_araC
yiaN_crp_araC
yiaM_crp_araC
yiaL_crp_araC
yiaK_crp_araC
yiaJ_crp_araC
chbG_crp_araC
cspE_crp_araC
yeiP_crp_araC
nupC_crp_araC
mtlR_crp_araC
yjcH_crp_araC
actP_crp_araC
sbmC_crp_araC
puuB_crp_araC
hofC_crp_araC
grcA_crp_araC
galM_crp_araC
proP_crp_araC
fixB_crp_araC
caiB_crp_araC
ychH_crp_araC
fadD_crp_araC
gltF_crp_araC
narQ_crp_araC
acs_crp_araC
gcvT_crp_araC
marR_crp_araC
marA_crp_araC
dadX_crp_araC
dadA_crp_araC
treC_crp_araC
glgS_crp_araC
gabP_crp_araC
gabD_crp_araC
acnA_crp_araC
dusB_crp_araC
preA_crp_araC
tnaC_crp_araC
ivbL_crp_araC
focA_crp_araC
mazF_crp_araC
yhfA_crp_araC
raiA_crp_araC
cspD_crp_araC
xylA_crp_araC
xseA_crp_araC
uhpT_crp_araC
ugpQ_crp_araC
ugpB_crp_araC
ugpA_crp_araC
udp_crp_araC
tsx_crp_araC
trg_crp_araC
sucD_crp_araC
sucC_crp_araC
sucB_crp_araC
sucA_crp_araC
srlD_crp_araC
srlB_crp_araC
sodA_crp_araC
sfsA_crp_araC
sdhD_crp_araC
sdhC_crp_araC
sdhB_crp_araC
sdhA_crp_araC
rpsR_crp_araC
rpsF_crp_araC
rpoH_crp_araC
rhaR_crp_araC
relA_crp_araC
rbsR_crp_araC
rbsD_crp_araC
rbsC_crp_araC
rbsB_crp_araC
ptsI_crp_araC
ptsH_crp_araC
ptsG_crp_araC
priB_crp_araC
ppiA_crp_araC
pgk_crp_araC
pflB_crp_araC
ompR_crp_araC
ompA_crp_araC
nupG_crp_araC
nrdB_crp_araC
nmpC_crp_araC
nirD_crp_araC
nirC_crp_araC
nirB_crp_araC
nanA_crp_araC
nagC_crp_araC
nagE_crp_araC
umpH_crp_araC
nagB_crp_araC
nagA_crp_araC
mtlD_crp_araC
mtlA_crp_araC
mglA_crp_araC
metK_crp_araC
melB_crp_araC
mdh_crp_araC
mazE_crp_araC
manY_crp_araC
manX_crp_araC
manA_crp_araC
malX_crp_araC
malT_crp_araC
malM_crp_araC
malI_crp_araC
malF_crp_araC
malE_crp_araC
lpd_crp_araC
lamB_crp_araC
lacZ_crp_araC
lacY_crp_araC
lacA_crp_araC
rpoS_crp_araC
ilvB_crp_araC
hupB_crp_araC
hupA_crp_araC
hflC_crp_araC
gyrA_crp_araC
guaB_crp_araC
guaA_crp_araC
grpE_crp_araC
gltD_crp_araC
gltB_crp_araC
