:START_ID,val,:END_ID,:TYPE
cpxR,1,cpxR,EDGE
cpxR,1,aroG,EDGE
cpxR,1,cheW,EDGE
cpxR,1,lpxD,EDGE
cpxR,1,hha,EDGE
cpxR,1,skp,EDGE
cpxR,1,degP,EDGE
cpxR,1,lpxA,EDGE
cpxR,1,motA,EDGE
cpxR,1,motB,EDGE
cpxR,1,ompC,EDGE
cpxR,1,ppiA,EDGE
cpxR,1,rpoH,EDGE
cpxR,1,slt,EDGE
cpxR,1,tsr,EDGE
cpxR,1,dsbC,EDGE
cpxR,1,yccA,EDGE
cpxR,1,fabZ,EDGE
cpxR,1,dsbA,EDGE
cpxR,1,csgA,EDGE
cpxR,1,baeS,EDGE
cpxR,1,yidQ,EDGE
cpxR,1,rdoA,EDGE
cpxR,1,tomB,EDGE
cpxR,1,ppiD,EDGE
cpxR,1,efeU_1,EDGE
cpxR,1,csgG,EDGE
cpxR,1,csgE,EDGE
cpxR,1,csgB,EDGE
cpxR,1,csgC,EDGE
cpxR,1,ycfS,EDGE
cpxR,1,spy,EDGE
cpxR,1,mdtC,EDGE
cpxR,1,ygaU,EDGE
cpxR,1,yqaE,EDGE
cpxR,1,yqjA,EDGE
cpxR,1,cpxP,EDGE
ada,1,ada,EDGE
ada,1,alkB,EDGE
ada,1,aidB,EDGE
araC,1,araA,EDGE
araC,1,araB,EDGE
araC,1,araC,EDGE
araC,1,araD,EDGE
araC,1,araE,EDGE
araC,1,araF,EDGE
araC,1,araG,EDGE
araC,1,xylB,EDGE
arcA,1,ackA,EDGE
arcA,1,puuC,EDGE
arcA,1,appA,EDGE
arcA,1,cadA,EDGE
arcA,1,cadB,EDGE
arcA,1,cydA,EDGE
arcA,1,cydB,EDGE
arcA,1,fumC,EDGE
arcA,1,glpA,EDGE
arcA,1,glpB,EDGE
arcA,1,glpC,EDGE
arcA,1,glpD,EDGE
arcA,1,hyaA,EDGE
arcA,1,hyaB,EDGE
arcA,1,hyaC,EDGE
arcA,1,hyaD,EDGE
arcA,1,ndh,EDGE
arcA,1,oppF,EDGE
arcA,1,pflB,EDGE
arcA,1,sdhA,EDGE
arcA,1,sdhB,EDGE
arcA,1,sdhC,EDGE
arcA,1,sdhD,EDGE
arcA,1,sucA,EDGE
arcA,1,sucB,EDGE
arcA,1,sucC,EDGE
arcA,1,sucD,EDGE
arcA,1,focA,EDGE
arcA,1,rhaT,EDGE
arcA,1,appB,EDGE
arcA,1,appC,EDGE
arcA,1,gadE,EDGE
arcA,1,caiB,EDGE
arcA,1,ydeA,EDGE
arcA,1,grcA,EDGE
arcA,1,hybB,EDGE
arcA,1,hybC,EDGE
arcA,1,hybD,EDGE
arcA,1,hybE,EDGE
arcA,1,puuB,EDGE
arcA,1,lldD,EDGE
arcA,1,nuoG,EDGE
arcA,1,nuoJ,EDGE
arcA,1,gadX,EDGE
arcA,1,gatD,EDGE
arcA,1,prmC,EDGE
arcA,1,caiE,EDGE
arcA,1,dctA,EDGE
arcA,1,glcB,EDGE
arcA,1,gadA,EDGE
arcA,1,fadH,EDGE
arcA,1,citG,EDGE
arcA,1,citX,EDGE
arcA,1,citF,EDGE
arcA,1,citE,EDGE
arcA,1,citD,EDGE
arcA,1,citC,EDGE
arcA,1,dpiA,EDGE
arcA,1,dcuC,EDGE
arcA,1,iraM,EDGE
arcA,1,puuP,EDGE
arcA,1,puuE,EDGE
arcA,1,fadJ,EDGE
arcA,1,glcA,EDGE
arcA,1,glcD,EDGE
arcA,1,hybO,EDGE
argR,1,hisM,EDGE
argR,1,argC,EDGE
argR,1,argF,EDGE
argR,1,argG,EDGE
argR,1,gltB,EDGE
argR,1,gltD,EDGE
argR,1,argH,EDGE
argR,1,gltF,EDGE
argR,1,artM,EDGE
argR,1,artJ,EDGE
argR,1,astE,EDGE
argR,1,astB,EDGE
argR,1,astD,EDGE
argR,1,astA,EDGE
argR,1,astC,EDGE
asnC,1,asnA,EDGE
asnC,1,mnmG,EDGE
bolA,1,ampC,EDGE
bolA,1,dacC,EDGE
cadC,1,cadC,EDGE
chbR,1,chbB,EDGE
chbR,1,chbC,EDGE
chbR,1,chbA,EDGE
chbR,1,chbR,EDGE
chbR,1,chbF,EDGE
chbR,1,chbG,EDGE
crp,1,aceE,EDGE
crp,1,aceF,EDGE
crp,1,agp,EDGE
crp,1,aldA,EDGE
crp,1,puuC,EDGE
crp,1,araC,EDGE
crp,1,araE,EDGE
