id:ID,:LABEL
cpxR,GEN
ada,GEN
araC,GEN
arcA,GEN
argR,GEN
asnC,GEN
bolA,GEN
cadC,GEN
chbR,GEN
crp,GEN
cspA,GEN
cysB,GEN
dicA,GEN
dnaA,GEN
fis,GEN
flhD,GEN
fnr,GEN
fur,GEN
galS,GEN
ihfA,GEN
ihfB,GEN
hipB,GEN
hns,GEN
hupA,GEN
hupB,GEN
argP,GEN
kdpE,GEN
lexA,GEN
lrp,GEN
malI,GEN
malT,GEN
mprA,GEN
nagC,GEN
narL,GEN
ompR,GEN
phoP,GEN
rbsR,GEN
rcsA,GEN
rcsB,GEN
rhaR,GEN
sdiA,GEN
nhaR,GEN
mraZ,GEN
mngR,GEN
nsrR,GEN
creB,GEN
nrdR,GEN
fliZ,GEN
rob,GEN
fabR,GEN
cynR,GEN
marA,GEN
marR,GEN
nikR,GEN
narP,GEN
gadE,GEN
evgA,GEN
basR,GEN
zur,GEN
zntR,GEN
mlrA,GEN
sgrR,GEN
lrhA,GEN
gadW,GEN
gadX,GEN
puuR,GEN
gntR,GEN
exuR,GEN
caiF,GEN
rclR,GEN
cueR,GEN
allR,GEN
dpiA,GEN
csgD,GEN
dhaR,GEN
paaX,GEN
lsrR,GEN
rstA,GEN
uidR,GEN
slyA,GEN
nac,GEN
murR,GEN
hyfR,GEN
iscR,GEN
hcaR,GEN
yqhC,GEN
qseB,GEN
nanR,GEN
ulaR,GEN
gatR_1,GEN
aroG,GEN
cheW,GEN
lpxD,GEN
hha,GEN
skp,GEN
degP,GEN
lpxA,GEN
motA,GEN
motB,GEN
ompC,GEN
ppiA,GEN
rpoH,GEN
slt,GEN
tsr,GEN
dsbC,GEN
yccA,GEN
fabZ,GEN
dsbA,GEN
csgA,GEN
baeS,GEN
yidQ,GEN
rdoA,GEN
tomB,GEN
ppiD,GEN
efeU_1,GEN
csgG,GEN
csgE,GEN
csgB,GEN
csgC,GEN
ycfS,GEN
spy,GEN
mdtC,GEN
ygaU,GEN
yqaE,GEN
yqjA,GEN
cpxP,GEN
alkB,GEN
aidB,GEN
araA,GEN
araB,GEN
araD,GEN
araE,GEN
araF,GEN
araG,GEN
xylB,GEN
ackA,GEN
puuC,GEN
appA,GEN
cadA,GEN
cadB,GEN
cydA,GEN
cydB,GEN
fumC,GEN
glpA,GEN
glpB,GEN
glpC,GEN
