id:ID,:LABEL
cpxR,GEN
ada,GEN
appY,GEN
araC,GEN
arcA,GEN
argR,GEN
cadC,GEN
chbR,GEN
crp,GEN
cspA,GEN
cysB,GEN
dnaA,GEN
fis,GEN
flhC,GEN
flhD,GEN
fnr,GEN
fur,GEN
galR,GEN
galS,GEN
glpR,GEN
ihfA,GEN
ihfB,GEN
hipA,GEN
hns,GEN
hupA,GEN
hupB,GEN
argP,GEN
kdpE,GEN
lacI,GEN
leuO,GEN
lexA,GEN
lrp,GEN
malI,GEN
malT,GEN
mprA,GEN
nagC,GEN
narL,GEN
ompR,GEN
phoP,GEN
rbsR,GEN
rcsA,GEN
rcsB,GEN
rhaR,GEN
sdiA,GEN
soxS,GEN
tdcR,GEN
uhpA,GEN
nhaR,GEN
mraZ,GEN
mngR,GEN
xapR,GEN
creB,GEN
melR,GEN
nrdR,GEN
fliZ,GEN
rob,GEN
fabR,GEN
cynR,GEN
marA,GEN
marR,GEN
nikR,GEN
narP,GEN
gadE,GEN
evgA,GEN
basR,GEN
atoC,GEN
zur,GEN
zntR,GEN
mlrA,GEN
sgrR,GEN
lrhA,GEN
gatR_2,GEN
gadW,GEN
gadX,GEN
puuR,GEN
torR,GEN
gntR,GEN
exuR,GEN
dsdC,GEN
xylR,GEN
caiF,GEN
ecpR,GEN
rclR,GEN
cueR,GEN
allR,GEN
dpiA,GEN
dhaR,GEN
lsrR,GEN
rstA,GEN
uidR,GEN
slyA,GEN
cbl,GEN
nac,GEN
murR,GEN
hyfR,GEN
iscR,GEN
hcaR,GEN
yqhC,GEN
qseB,GEN
agaR,GEN
nanR,GEN
dcuR,GEN
ulaR,GEN
gatR_1,GEN
aroG,GEN
cheW,GEN
lpxD,GEN
hha,GEN
skp,GEN
degP,GEN
lpxA,GEN
motB,GEN
ompC,GEN
ppiA,GEN
rpoH,GEN
slt,GEN
tsr,GEN
dsbC,GEN
yccA,GEN
fabZ,GEN
dsbA,GEN
csgA,GEN
baeS,GEN
yidQ,GEN
yebE,GEN
rdoA,GEN
mdtD,GEN
tomB,GEN
ppiD,GEN
efeU_1,GEN
csgG,GEN
csgE,GEN
csgD,GEN
ycfS,GEN
spy,GEN
mdtC,GEN
ygaU,GEN
yqaE,GEN
yqjA,GEN
mzrA,GEN
cpxP,GEN
alkB,GEN
aidB,GEN
appA,GEN
hyaA,GEN
